name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
hanoi,2022-03-01,22.7,19,20.7,22.7,19,20.7,17,79.8,0,0,0,rain,0,0,20.2,13,108.1,1016.4,83,5.6,70.5,5,3,10,2022-03-01T06:17:17,2022-03-01T18:00:59,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-02,25.1,19,22.2,25.1,19,22.2,18.3,79.5,0,0,0,,0,0,28.1,13,191.7,1016.6,63.8,5.2,181.3,13,5,10,2022-03-02T06:16:29,2022-03-02T18:01:23,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-03,25.4,18,22.1,25.4,18,22.1,18.5,80.7,0,0,0,,0,0,33.5,20.5,120.2,1014.2,65.8,6.3,275.6,19.8,8,10,2022-03-03T06:15:41,2022-03-03T18:01:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-04,23.4,19.9,21.3,23.4,19.9,21.3,19.5,89.9,0.3,100,12.5,rain,0,0,32.8,14.8,105.8,1012.8,96.9,5,92.8,6.8,3,10,2022-03-04T06:14:53,2022-03-04T18:02:09,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-05,22.7,20.8,21.3,22.7,20.8,21.3,20.5,95.2,0.2,100,4.17,rain,0,0,30.6,12.1,114.3,1011.7,96.6,4,37.6,2.7,1,10,2022-03-05T06:14:03,2022-03-05T18:02:31,0.04,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-06,24,20.9,22.2,24,20.9,22.2,21.1,93.8,0.22,100,12.5,rain,0,0,32,14.8,111.9,1011.5,97.8,4.6,42.6,3.1,1,10,2022-03-06T06:13:14,2022-03-06T18:02:54,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-07,24.3,18.3,21.5,24.3,18.3,21.5,17.1,78,15.65,100,12.5,rain,0,0,41,24.1,222.8,1017.7,44.6,7.8,150.9,11.5,6,10,2022-03-07T06:12:24,2022-03-07T18:03:16,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-08,26,16,20.5,26,16,20.5,14.1,70,0,0,0,,0,0,35.3,22.3,125.5,1016,15.2,8.5,289.9,24.9,9,10,2022-03-08T06:11:33,2022-03-08T18:03:37,0.16,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-09,23.1,16,19.6,23.1,16,19.6,15.4,77.6,0.1,100,4.17,rain,0,0,28.4,22.3,99.9,1013.9,77.3,9.2,131.7,11.5,4,10,2022-03-09T06:10:42,2022-03-09T18:03:58,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-10,24,18,20.6,24,18,20.6,18,85.6,0.98,100,4.17,rain,0,0,27,16.6,110.6,1013.8,96.6,7,46.7,4,2,10,2022-03-10T06:09:50,2022-03-10T18:04:19,0.25,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-11,24.6,20,22,24.6,20,22,18.5,81.4,0.1,100,4.17,rain,0,0,24.8,13,114.4,1012.3,96.4,8.9,77.9,6.7,4,10,2022-03-11T06:08:59,2022-03-11T18:04:40,0.3,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-12,25.2,20.8,22.7,25.2,20.8,22.7,19.4,82.1,0.2,100,8.33,rain,0,0,32.4,18.4,123.2,1011.1,78.9,8.9,82.5,7.1,3,10,2022-03-12T06:08:06,2022-03-12T18:05:00,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-13,25,21,22.8,25,21,22.8,20.2,85.6,0.2,100,8.33,rain,0,0,27.4,16.6,115.8,1011,85,8.4,33.9,3,1,10,2022-03-13T06:07:14,2022-03-13T18:05:21,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-14,25.6,21,23.3,25.6,21,23.3,20.3,83.6,0,0,0,rain,0,0,22.7,14.4,107.6,1011,92.4,8,37,3.3,1,10,2022-03-14T06:06:21,2022-03-14T18:05:40,0.43,Overcast,Cloudy skies throughout the day.,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-15,28,22,24.7,30.1,22,25.2,20.8,79.5,1.2,100,12.5,rain,0,0,26.6,13,204,1010,52.3,5.5,217.8,18.8,7,10,2022-03-15T06:05:28,2022-03-15T18:06:00,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-16,26,22,23.5,26,22,23.5,21.3,88,0.26,100,12.5,rain,0,0,37.4,20.5,123.9,1008.5,76.1,6.5,141.8,12.3,6,10,2022-03-16T06:04:34,2022-03-16T18:06:20,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-17,25.1,22.6,23.6,25.1,22.6,23.6,21.6,88.8,0,0,0,,0,0,28.1,14.8,105.8,1007.9,91.5,5.9,171,14.9,5,10,2022-03-17T06:03:41,2022-03-17T18:06:39,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-18,28,22,24.9,31.3,22,25.6,22,84.4,0.1,100,4.17,rain,0,0,29.9,16.3,124,1008.3,70.2,5.5,204.4,17.7,8,30,2022-03-18T06:02:47,2022-03-18T18:06:58,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-19,26.2,22,24.1,26.2,22,24.1,22,88.1,0.1,100,4.17,rain,0,0,37.8,18.4,114.6,1006.7,90,6.7,133.8,11.4,4,10,2022-03-19T06:01:53,2022-03-19T18:07:17,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-20,28,24,25.4,31.9,24,26,22.9,86.3,0.4,100,8.33,rain,0,0,35.6,27.7,114.2,1006.7,91.5,7.3,215.1,18.6,9,30,2022-03-20T06:00:59,2022-03-20T18:07:36,0.53,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-21,28.9,24,25.6,33.6,24,26.5,23.7,89.5,0.7,100,16.67,rain,0,0,34.2,18.4,110,1007.7,91.2,6,167.6,14.6,7,30,2022-03-21T06:00:05,2022-03-21T18:07:55,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-22,32,24,26.4,37.8,24,28.2,23.8,86.1,1,100,8.33,rain,0,0,35.3,20.5,95.8,1009,78.5,5.9,202,17.5,9,30,2022-03-22T05:59:10,2022-03-22T18:08:13,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-23,25,17,19.9,25,17,19.9,16.9,83.5,5.97,100,8.33,rain,0,0,51.8,31.7,102.2,1013.4,98.9,8.6,15,1.5,1,30,2022-03-23T05:58:16,2022-03-23T18:08:32,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-24,20.7,16,18.7,20.7,16,18.7,16.7,88.4,4.89,100,4.17,rain,0,0,24.1,16.6,95.1,1011,99.5,7,68.9,5.8,3,10,2022-03-24T05:57:22,2022-03-24T18:08:50,0.71,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-25,27.1,19,22.4,29.1,19,22.4,20.2,88.2,0.2,100,4.17,rain,0,0,25.2,13,124.4,1007.6,95,4.9,245.9,21.3,9,10,2022-03-25T05:56:27,2022-03-25T18:09:08,0.77,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-26,32.7,22.6,26.4,39.2,22.6,28.6,23.1,83.4,0,0,0,,0,0,30.6,16.6,163.5,1007.6,50.2,4.6,294.1,25.5,10,10,2022-03-26T05:55:33,2022-03-26T18:09:27,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
hanoi,2022-03-27,25.4,18,23.1,25.4,18,23.1,18.3,75.6,0.88,100,4.17,rain,0,0,51.8,27.7,89.9,1012.8,74.9,8.6,103.8,9,5,10,2022-03-27T05:54:38,2022-03-27T18:09:45,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
